,lamL,lam2,lam6,lam7,mmV0,mmA0,mmVm,kp1,kp2,Yn11,Yn12,Yn13,Yn21,Yn22,Yn23,Yn31,Yn32,Yn33,MNN1,MNN2,MNN3,Omega
0,1.0,1e-06,2e-06,3e-06,100.0,101.0,101.1,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,200.0,300.0,3.56
1,1.0,1e-06,2e-06,3e-06,100.0,101.0,101.1,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,200.0,300.0,1.42
2,1.0,1e-06,2e-06,3e-06,100.0,101.0,101.1,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,200.0,300.0,0.695
3,1.0,1e-06,2e-06,3e-06,100.0,101.0,101.1,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,200.0,300.0,0.439
4,1.0,1e-06,2e-06,3e-06,100.0,101.0,101.1,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,200.0,300.0,0.309
5,1.0,1e-06,2e-06,3e-06,100.0,101.0,101.1,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,200.0,300.0,0.231
6,1.0,1e-06,2e-06,3e-06,100.0,101.0,101.1,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,200.0,300.0,0.181
7,1.0,1e-06,2e-06,3e-06,100.0,101.0,101.1,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,200.0,300.0,0.146
8,1.0,1e-06,2e-06,3e-06,100.0,101.0,101.1,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,200.0,300.0,0.121
9,1.0,1e-06,2e-06,3e-06,100.0,101.0,101.1,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,200.0,300.0,0.102
10,1.0,1e-06,2e-06,3e-06,100.0,101.0,101.1,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,200.0,300.0,0.0874
11,1.0,1e-06,2e-06,3e-06,100.0,101.0,101.1,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,200.0,300.0,0.0759
12,1.0,1e-06,2e-06,3e-06,100.0,101.0,101.1,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,200.0,300.0,0.0667
13,1.0,1e-06,2e-06,3e-06,100.0,101.0,101.1,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,200.0,300.0,0.0592
14,1.0,1e-06,2e-06,3e-06,100.0,101.0,101.1,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,200.0,300.0,0.053
15,1.0,1e-06,2e-06,3e-06,100.0,101.0,101.1,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,200.0,300.0,0.0478
16,1.0,1e-06,2e-06,3e-06,100.0,101.0,101.1,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,200.0,300.0,0.0434
17,1.0,1e-06,2e-06,3e-06,100.0,101.0,101.1,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,200.0,300.0,0.0396
18,1.0,1e-06,2e-06,3e-06,100.0,101.0,101.1,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,200.0,300.0,0.0364
19,1.0,1e-06,2e-06,3e-06,100.0,101.0,101.1,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,200.0,300.0,0.0336
